Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
corporate moving service,82,82,70,44,8.11,https://www.firstratemovers.com/,0,0,0.00,0.33,383000000,"[14,14,78,78,78,14,78,14,14,100,50,35]",2026-02-27,"Local pack, Image, People also ask, Related searches, AI overview",informational,Organic
packers movers,21,21,170,39,8.13,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.92,13700000,"[66,10,8,22,66,14,14,100,100,8,10,10]",2026-01-19,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
i need boxes for moving,44,44,320,37,0.00,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.26,339000000,"[66,66,66,66,66,66,66,66,66,81,66,54]",2026-02-10,"Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
a 1 moving company,30,30,50,5,2.86,https://www.firstratemovers.com/,0,0,0.00,0.4,1440000000,"[18,18,18,18,100,100,18,18,100,18,100,18]",2026-02-16,"Knowledge panel, Video, People also ask, Related searches","informational, transactional",Organic
movers cobourg ontario,6,6,110,10,3.97,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.64,115,"[21,15,34,65,100,43,28,28,21,28,21,21]",2026-03-05,"Local pack, People also ask, Related searches",commercial,People also ask
helloyugo,7,7,90,30,0.00,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0,2160,"[14,66,52,66,33,52,42,100,14,66,14,19]",2026-03-04,"Knowledge panel, Sitelinks, Image, People also ask",navigational,People also ask
helloyugo,7,7,90,30,0.00,https://www.firstratemovers.com/,0,0,0.00,0,2160,"[14,66,52,66,33,52,42,100,14,66,14,19]",2026-03-04,"Knowledge panel, Sitelinks, Image, People also ask",navigational,People also ask
free dresser toronto,56,56,90,7,1.32,https://www.firstratemovers.com/detailed-moving-estimates/,0,0,0.00,0.28,3330000,"[52,52,41,64,52,52,52,41,41,52,52,41]",2026-03-03,"Sitelinks, Video, Related searches",informational,Organic
movers kanata,23,23,140,14,6.26,https://www.firstratemovers.com/,0,0,0.00,0.78,258000,"[9,43,15,15,15,15,15,81,81,65,81,100]",2026-02-14,"Local pack, Image, People also ask, Related searches",commercial,Organic
how much do moving companies charge,15,15,110,9,2.20,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.79,362000000,"[42,53,53,53,42,53,53,42,42,53,34,34]",2026-01-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
furniture movers ottawa,40,40,210,25,3.60,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.72,1020000,"[5,5,5,7,7,11,11,59,39,32,39,39]",2026-01-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
furniture movers ottawa,72,72,210,25,3.60,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,0,0,0.00,0.72,1020000,"[5,5,5,7,7,11,11,59,39,32,39,39]",2026-01-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
packing services,24,24,480,28,3.25,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.16,2160000000,"[8,11,11,25,13,16,20,37,37,25,37,52]",2026-01-20,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
moving companies with storage containers,80,80,720,56,4.32,https://www.firstratemovers.com/our-storage/,0,0,0.00,0.97,21100000,"[30,36,55,100,62,30,36,45,30,55,30,24]",2026-03-02,"Local pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Organic
long distance moving,32,32,1000,29,9.22,https://www.firstratemovers.com/long-distance-moving/,0,0,0.00,0.18,772000000,"[24,20,24,24,41,30,24,54,54,54,54,54]",2026-01-27,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
cheapest moving company,15,15,110,30,5.60,https://www.firstratemovers.com/,0,0,0.00,0.81,135,"[11,6,11,11,44,8,18,15,15,28,35,35]",2026-03-09,"Local pack, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
cheapest moving company,73,73,110,30,5.60,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.81,135,"[11,6,11,11,44,8,18,15,15,28,35,35]",2026-03-09,"Local pack, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
movers sault ste marie ontario,5,5,90,14,1.68,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.57,141000,"[81,81,81,63,45,100,63,100,100,63,63,81]",2026-03-03,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
piano disposal near me,1,1,70,10,5.60,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.91,0,"[19,14,23,23,33,19,33,42,33,33,33,42]",2026-03-08,"Knowledge panel, Video, Ads bottom, Related searches, AI overview","informational, transactional",AI overview
piano disposal near me,1,1,70,10,5.60,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.91,0,"[19,14,23,23,33,19,33,42,33,33,33,42]",2026-03-08,"Knowledge panel, Video, Ads bottom, Related searches, AI overview","informational, transactional",AI overview
movers kitchener ontario,1,1,590,23,8.64,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.99,247000,"[55,100,8,16,10,30,81,62,16,20,24,16]",2026-02-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,People also ask
used furniture buyers near me,34,34,90,40,0.79,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.7,426000000,"[14,14,10,29,22,22,22,18,22,18,18,18]",2026-03-01,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
used furniture buyers near me,62,62,90,40,0.79,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.7,426000000,"[14,14,10,29,22,22,22,18,22,18,18,18]",2026-03-01,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
piano movers cost,26,26,140,4,1.82,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.18,4310000,"[21,28,34,43,43,15,6,53,65,100,34,65]",2026-02-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
ottawa long distance moving,11,11,210,24,7.61,https://www.firstratemovers.com/long-distance-moving/,0,0,0.00,0.53,5120000,"[28,23,53,43,66,66,53,100,53,43,53,66]",2026-01-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
where can i buy cheap moving boxes,37,37,260,34,0.87,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,0.94,103000000,"[19,44,36,44,36,36,44,44,44,44,29,29]",2026-02-06,"Local pack, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Discussions and forums, AI overview",transactional,Organic
barrhaven self storage,21,21,50,26,5.69,https://www.firstratemovers.com/our-storage/,0,0,0.00,0.76,33900,"[3,3,3,18,18,18,3,18,18,3,3,3]",2026-02-20,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
barrhaven self storage,35,35,50,26,5.69,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.76,33900,"[3,3,3,18,18,18,3,18,18,3,3,3]",2026-02-20,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
barrhaven self storage,67,67,50,26,5.69,https://www.firstratemovers.com/barrhaven/,0,0,0.00,0.76,33900,"[3,3,3,18,18,18,3,18,18,3,3,3]",2026-02-20,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
how much does it cost for movers to move,27,27,210,12,2.19,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.76,27300000,"[11,11,11,15,11,15,18,54,81,100,54,54]",2026-01-24,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
how much does it cost for movers to move,39,39,210,12,2.19,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.76,27300000,"[11,11,11,15,11,15,18,54,81,100,54,54]",2026-01-24,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
how much does it cost for movers to move,53,53,210,12,2.19,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.76,27300000,"[11,11,11,15,11,15,18,54,81,100,54,54]",2026-01-24,"Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
packing moving company,29,29,110,25,2.96,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.89,89000000,"[54,66,43,100,22,4,4,4,4,4,4,4]",2026-01-28,"Local pack, Video, People also ask, Related searches",commercial,Organic
average cost of moving company,25,25,140,19,2.10,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.71,377000000,"[42,80,66,66,66,4,80,66,66,80,52,66]",2026-03-03,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
small moving companies near me,18,18,210,32,2.99,https://www.firstratemovers.com/,0,0,0.00,0.89,602000000,"[65,80,53,100,100,100,100,100,100,100,65,65]",2026-03-04,"Local pack, Video, People also ask, Related searches",transactional,Organic
moving companies in campbell river,2,2,70,9,2.90,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.73,119,"[45,81,81,45,100,63,18,63,63,81,81,63]",2026-03-04,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
rental truck movers,22,22,90,68,1.71,https://www.firstratemovers.com/help-loading-or-unloading-truck-or-container/,0,0,0.00,0.23,19900000,"[7,11,11,7,7,7,26,53,100,34,42,100]",2026-01-19,"Local pack, Ads bottom, Related searches",commercial,Organic
moving appliances,28,28,140,17,2.81,https://www.firstratemovers.com/preparing-appliances/,0,0,0.00,0.86,195000000,"[80,15,19,26,65,53,34,100,80,53,53,53]",2026-01-27,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Short videos",commercial,Organic
piano mover,92,92,320,19,3.08,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.8,37600000,"[15,36,23,54,36,36,36,29,54,29,23,29]",2026-01-31,"Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
piano mover ottawa,7,7,70,19,1.67,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.57,276000,"[21,7,14,14,14,14,21,100,100,50,78,100]",2026-02-16,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
storage unit first month free,19,19,70,37,8.55,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.94,217000000,"[36,36,45,45,45,100,63,63,63,63,36,45]",2026-01-18,"Video, Ads bottom, Related searches, AI overview",commercial,Organic
storage unit first month free,21,21,70,37,8.55,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.94,217000000,"[36,36,45,45,45,100,63,63,63,63,36,45]",2026-01-18,"Video, Ads bottom, Related searches, AI overview",commercial,Organic
moving companies in red deer,4,4,70,14,4.09,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.9,34200000,"[19,23,100,19,23,23,23,23,23,19,14,23]",2026-02-28,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
boxes moving boxes,73,73,70,23,0.83,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,0,"[19,14,0,23,33,100,33,42,52,66,23,4]",2026-03-09,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
kanata movers,31,31,480,18,6.26,https://www.firstratemovers.com/,0,0,0.00,0.78,303000,"[13,3,30,36,55,20,24,30,45,100,45,30]",2026-02-05,"Local pack, Image, People also ask, Related searches",commercial,Organic
best moving company ottawa,3,3,70,53,4.10,https://www.firstratemovers.com/,0,0,0.00,0.59,36300000,"[15,19,3,3,19,7,100,65,11,11,42,7]",2026-02-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
best moving company ottawa,31,31,70,53,4.10,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0.59,36300000,"[15,19,3,3,19,7,100,65,11,11,42,7]",2026-02-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
cheap self storage ottawa,56,56,110,32,4.21,https://www.firstratemovers.com/ottawa-self-storage/,0,0,0.00,0.91,5820000,"[26,26,26,42,42,42,53,53,53,34,42,34]",2026-03-03,"Local pack, Image, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
cheap self storage ottawa,79,79,110,32,4.21,https://www.firstratemovers.com/our-storage/,0,0,0.00,0.91,5820000,"[26,26,26,42,42,42,53,53,53,34,42,34]",2026-03-03,"Local pack, Image, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
cheap moving companies ottawa,4,4,110,41,4.63,https://www.firstratemovers.com/,0,0,0.00,0.86,78200000,"[26,26,34,42,42,34,42,34,42,65,42,65]",2026-01-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
cheap moving companies ottawa,34,34,110,41,4.63,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,78200000,"[26,26,34,42,42,34,42,34,42,65,42,65]",2026-01-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
cheap moving companies ottawa,64,64,110,41,4.63,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.86,78200000,"[26,26,34,42,42,34,42,34,42,65,42,65]",2026-01-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
cheap moving companies ottawa,72,72,110,41,4.63,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.86,78200000,"[26,26,34,42,42,34,42,34,42,65,42,65]",2026-01-26,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa furniture bank,19,19,90,28,2.69,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.07,8290000,"[28,10,7,23,28,23,12,43,23,35,28,28]",2026-01-26,"Knowledge panel, Video, Ads bottom, People also ask, Related searches",informational,Organic
quote moving,56,56,50,22,0.61,https://www.firstratemovers.com/moving-quotes/,0,0,0.00,0.31,310000000,"[0,5,17,17,23,100,29,41,29,29,23,17]",2026-01-20,"Image pack, Ads top, Ads bottom, People also ask, Related searches","commercial, informational",Organic
hire moving service,46,46,50,15,5.44,https://www.firstratemovers.com/,0,0,0.00,0.83,166000000,"[63,81,63,81,18,18,100,18,18,18,18,18]",2026-01-25,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
hire moving service,58,58,50,15,5.44,https://www.firstratemovers.com/,0,0,0.00,0.83,166000000,"[63,81,63,81,18,18,100,18,18,18,18,18]",2026-01-25,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
newmarket ontario moving companies,3,3,210,19,8.76,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.74,128,"[48,48,1,2,3,2,1,2,48,48,39,32]",2026-03-05,"Local pack, Image, People also ask, Related searches",commercial,People also ask
reliable moving co,30,30,110,22,6.12,https://www.firstratemovers.com/,0,0,0.00,0.57,268000000,"[64,64,11,64,52,100,100,64,64,100,52,41]",2026-02-28,"Local pack, Sitelinks, Video, Related searches",informational,Organic
moving companies for long distance moves,30,30,1300,39,9.22,https://www.firstratemovers.com/long-distance-moving/,0,0,0.00,0.18,194000000,"[34,44,100,44,82,65,44,44,34,3,4,8]",2026-02-04,"Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
quotes for moving companies,23,23,320,32,9.28,https://www.firstratemovers.com/moving-quotes/,0,0,0.00,0.42,189000000,"[66,66,54,66,66,66,66,66,66,100,66,66]",2026-02-01,"Local pack, Image pack, Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
relocation insurance,36,36,70,9,5.38,https://www.firstratemovers.com/moving-company-insurance-coverage/,0,0,0.00,0.52,79500000,"[19,19,19,26,26,26,42,42,42,7,7,7]",2026-03-03,"Knowledge panel, People also ask, Related searches",informational,Organic
picture moving boxes,46,46,140,22,0.63,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,189000000,"[52,52,42,80,66,80,80,100,66,52,42,52]",2026-02-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
packing companies,62,62,50,46,3.31,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.68,951000000,"[11,17,64,52,23,29,23,17,17,64,41,11]",2026-01-28,"Local pack, People also ask, Related searches",commercial,Organic
appliance moving,43,43,50,18,2.39,https://www.firstratemovers.com/preparing-appliances/,0,0,0.00,0.98,102000000,"[33,19,9,14,66,23,42,23,23,9,14,4]",2026-02-27,"Local pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
moving equipment,59,59,210,25,1.30,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,822000000,"[29,66,100,81,43,35,35,35,35,35,35,29]",2026-02-22,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",commercial,Organic
how much it cost to move a house,49,49,70,18,1.36,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.42,1260000000,"[45,81,63,63,63,63,81,63,63,45,63,18]",2026-02-23,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
professional packaging,61,61,70,44,0.00,https://www.firstratemovers.com/ottawa-packing-services/,0,0,0.00,0.54,679000000,"[50,100,50,50,50,50,64,50,50,14,14,28]",2026-01-26,"Knowledge panel, Sitelinks, Video, Popular products, Related searches","commercial, navigational",Organic
a one movers,26,26,70,5,3.24,https://www.firstratemovers.com/,0,0,0.00,0.12,200000000,"[100,81,36,36,100,63,63,63,63,45,36,45]",2026-01-13,"Knowledge panel, Video, People also ask, Related searches","informational, transactional",Organic
piano moving services,25,25,110,12,3.20,https://www.firstratemovers.com/ottawa-piano-movers/,0,0,0.00,0.13,68200000,"[9,3,9,12,21,28,9,65,65,43,65,100]",2026-01-20,"Local pack, Sitelinks, Image, Ads bottom, People also ask, Related searches, AI overview",commercial,Organic
newmarket moving companies,49,49,50,,8.76,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,0,0,0.00,0.74,912000,"[50,0,50,21,28,28,28,35,35,21,35,50]",2026-01-31,"Local pack, Image, People also ask, Related searches",commercial,Organic
newmarket moving companies,50,50,50,,8.76,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,0,0,0.00,0.74,912000,"[50,0,50,21,28,28,28,35,35,21,35,50]",2026-01-31,"Local pack, Image, People also ask, Related searches",commercial,Organic
moving company rental,23,23,170,74,2.25,https://www.firstratemovers.com/,0,0,0.00,0.42,0,"[42,42,53,100,80,100,65,53,53,53,80,34]",2026-03-06,"Local pack, Video, Related searches",commercial,Organic
best ottawa moving companies,4,4,50,40,4.10,https://www.firstratemovers.com/,0,0,0.00,0.59,6010000,"[100,63,0,0,45,18,81,63,81,45,63,63]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
best ottawa moving companies,90,90,50,40,4.10,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,0,0,0.00,0.59,6010000,"[100,63,0,0,45,18,81,63,81,45,63,63]",2026-02-26,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa movers reviews,36,36,70,12,2.22,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.71,1480000,"[14,14,14,28,28,35,78,78,100,50,64,35]",2026-01-19,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa movers reviews,45,45,70,12,2.22,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.71,1480000,"[14,14,14,28,28,35,78,78,100,50,64,35]",2026-01-19,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
ottawa movers reviews,85,85,70,12,2.22,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0.71,1480000,"[14,14,14,28,28,35,78,78,100,50,64,35]",2026-01-19,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Organic
movers orangeville,1,1,90,22,5.90,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.89,184000,"[15,28,21,34,21,21,12,65,34,43,34,34]",2026-02-28,"Knowledge panel, Image, People also ask, Related searches",commercial,People also ask
cost of moving,21,21,110,18,3.33,https://www.firstratemovers.com/typical-move-costs-for-2024/,0,0,0.00,0.54,1340000000,"[2,4,29,35,35,22,29,29,35,22,18,18]",2026-02-15,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
cost of movers,33,33,140,15,3.33,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.54,99200000,"[4,5,4,100,4,4,5,9,7,3,7,9]",2026-01-23,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
buy sell ottawa,31,31,210,30,1.85,https://www.firstratemovers.com/where-can-i-sell-donate-or-dispose-of-my-belongings-in-ottawa/,0,0,0.00,0.07,27200000,"[65,81,43,65,65,81,65,100,81,43,65,81]",2026-02-21,"Sitelinks, Video, Related searches",transactional,Organic
mover hamilton,3,3,110,39,10.76,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,247000000,"[2,1,2,0,16,0,0,4,5,5,4,2]",2026-03-03,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
moving and storage service,26,26,390,51,5.64,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.1,365000000,"[21,88,32,32,21,26,48,32,32,39,32,32]",2026-01-26,"Local pack, Image, People also ask, Related searches",commercial,Organic
donate furniture with free pick up ottawa,17,17,140,14,2.11,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.62,900000,"[12,12,15,19,12,15,19,19,19,23,15,29]",2026-01-21,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
swan moving company,4,4,90,10,1.10,https://www.firstratemovers.com/how-to-choose-a-good-moving-company/,0,0,0.00,0.33,11900000,"[26,26,26,26,26,42,42,34,53,53,34,34]",2026-03-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
swan moving company,4,4,90,10,1.10,https://www.firstratemovers.com/,0,0,0.00,0.33,11900000,"[26,26,26,26,26,42,42,34,53,53,34,34]",2026-03-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
moving services st catharines,6,6,210,26,5.72,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.81,722000,"[23,28,35,44,100,44,23,35,35,23,15,23]",2026-03-04,"Local pack, Sitelinks, People also ask, Related searches",commercial,People also ask
low cost moving boxes,27,27,320,39,0.93,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,117000000,"[35,81,44,28,35,81,66,81,81,35,44,18]",2026-01-27,"Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
low cost moving boxes,30,30,320,39,0.93,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,117000000,"[35,81,44,28,35,81,66,81,81,35,44,18]",2026-01-27,"Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
inexpensive moving companies,19,19,140,38,4.58,https://www.firstratemovers.com/,0,0,0.00,0.93,81700000,"[100,66,66,100,66,52,52,42,42,42,66,52]",2026-02-06,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
pod storage ottawa,87,87,110,29,4.27,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.88,250000,"[8,15,23,35,15,18,6,23,18,15,15,15]",2026-02-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
find moving boxes,42,42,320,27,1.74,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,202000000,"[5,24,20,24,24,24,20,24,24,30,24,16]",2026-02-13,"Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
find moving boxes,57,57,320,27,1.74,https://www.firstratemovers.com/moving-boxes-and-supplies/,0,0,0.00,1,202000000,"[5,24,20,24,24,24,20,24,24,30,24,16]",2026-02-13,"Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
moving to ottawa from toronto,1,1,70,5,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,0,0,0.00,0.44,115000000,"[23,23,11,41,29,17,11,64,82,52,52,64]",2026-01-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
moving to ottawa from toronto,9,9,70,5,8.14,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,0,0,0.00,0.44,115000000,"[23,23,11,41,29,17,11,64,82,52,52,64]",2026-01-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
moving to ottawa from toronto,10,10,70,5,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,0,0,0.00,0.44,115000000,"[23,23,11,41,29,17,11,64,82,52,52,64]",2026-01-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
moving to ottawa from toronto,18,18,70,5,8.14,https://www.firstratemovers.com/moving-from-ottawa-to-toronto/,0,0,0.00,0.44,115000000,"[23,23,11,41,29,17,11,64,82,52,52,64]",2026-01-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
moving to ottawa from toronto,22,22,70,5,8.14,https://www.firstratemovers.com/moving-to-ottawa-from-toronto/,0,0,0.00,0.44,115000000,"[23,23,11,41,29,17,11,64,82,52,52,64]",2026-01-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
where to dispose of furniture,71,71,90,22,1.55,https://www.firstratemovers.com/furniture-donation-disposal/,0,0,0.00,0.79,324000000,"[34,34,26,34,42,26,34,26,34,42,26,34]",2026-02-11,"Local pack, Video, Ads bottom, People also ask, Related searches, AI overview",commercial,Organic
local moving services,79,79,140,34,5.68,https://www.firstratemovers.com/,0,0,0.00,0.32,1090000000,"[5,5,5,28,28,28,100,43,53,43,53,53]",2026-02-09,"Knowledge panel, Video, Ads bottom, People also ask, Related searches, AI overview",commercial,Organic
affordable long distance moving companies,95,95,170,19,4.65,https://www.firstratemovers.com/long-distance-moving/,0,0,0.00,0.14,70600000,"[28,53,43,66,35,43,35,53,53,100,35,17]",2026-03-03,"Sitelinks, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
movers timmins,1,1,90,11,1.94,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.33,57400,"[4,33,100,9,52,14,42,42,42,52,66,42]",2026-02-17,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
move in storage,18,18,260,27,7.04,https://www.firstratemovers.com/free-storage-ottawa/,0,0,0.00,0.31,1050000000,"[35,43,43,81,66,100,81,54,54,54,29,29]",2026-02-02,"Local pack, Video, Related searches, Discussions and forums",commercial,Organic
movers in ottawa,58,58,880,44,6.95,https://www.firstratemovers.com/local-ottawa-moving-rates/,0,0,0.00,0.86,2550000,"[16,41,20,54,100,54,16,30,30,41,24,20]",2026-01-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
